Rank,Target_ID,Length,Groups,Domain_Info,Domain_Length,Category,PDB_ID
26.,T1044,2180,All groups,T1044-D1: 2-2167,2166,MultiDom,6vr4
27.,T1045s1,330,Server only,T1045s1-D1: 1-154,154,TBM-easy,6xod
28.,T1045s2,330,All groups,T1045s2-D1: 8-173,166,TBM-hard,6xod
29.,T1046s1,216,All groups,T1046s1-D1: 1-72,72,FM/TBM,6px4
30.,T1046s2,216,All groups,T1046s2-D1: 2-142,141,TBM-hard,6px4
31.,T1047s1,597,All groups,T1047s1-D1: 22-232,211,FM,7bgl
32.,T1047s2,597,All groups,T1047s2-D1: 32-178,147,FM/TBM,7bgl
33.,T1047s2,597,All groups,"T1047s2-D2: 20-31,179-249",83,TBM-hard,7bgl
34.,T1047s2,597,All groups,T1047s2-D3: 250-365,116,FM/TBM,7bgl
35.,T1049,141,All groups,T1049-D1: 1-134,134,FM,6y4f
36.,T1050,779,All groups,T1050-D1: 4-324,321,TBM-easy,
37.,T1050,779,All groups,T1050-D2: 325-640,316,TBM-easy,
38.,T1050,779,All groups,T1050-D3: 641-768,128,TBM-easy,
39.,T1052,832,All groups,T1052-D0: 1-832,832,MultiDom,
40.,T1052,832,All groups,T1052-D1: 1-539,539,TBM-easy,
41.,T1052,832,All groups,"T1052-D2: 540-588,669-832",213,TBM-easy,
42.,T1052,832,All groups,T1052-D3: 589-668,80,FM/TBM,
43.,T1053,580,All groups,T1053-D0: 2-577,576,MultiDom,7m7a
44.,T1053,580,All groups,T1053-D1: 2-406,405,FM/TBM,7m7a
45.,T1053,580,All groups,T1053-D2: 407-577,171,FM/TBM,7m7a
46.,T1054,190,All groups,T1054-D1: 9-151,143,TBM-hard,6v4v
47.,T1055,148,All groups,T1055-D1: 3-124,122,FM/TBM,6zyc
48.,T1056,186,All groups,T1056-D1: 13-181,169,TBM-hard,6yj1
49.,T1057,287,All groups,"T1057-D1: 1-121,127-184,200-241,255-279",246,TBM-easy,7m6b
50.,T1058,382,All groups,T1058-D0: 1-382,382,MultiDom,7abw
51.,T1058,382,All groups,"T1058-D1: 1-41,117-238,325-382",221,FM/TBM,7abw
52.,T1058,382,All groups,"T1058-D2: 42-116,239-324",161,TBM-hard,7abw
53.,T1060s2,1106,All groups,T1060s2-D1: 1-297,297,TBM-hard,7qg9
54.,T1060s3,1106,All groups,T1060s3-D1: 4-140,137,TBM-hard,7qg9
55.,T1061,949,All groups,T1061-D0: 1-838,838,MultiDom,7zhj
56.,T1061,949,All groups,"T1061-D1: 1-170,442-735",464,FM/TBM,7zhj
57.,T1061,949,All groups,T1061-D2: 171-441,271,FM,7zhj
58.,T1061,949,All groups,T1061-D3: 736-838,103,TBM-easy,7zhj
59.,T1064,106,All groups,"T1064-D1: 3-47,60-106",92,FM,7jtl
60.,T1065s1,225,All groups,T1065s1-D1: 6-124,119,TBM-hard,7m5f
61.,T1065s2,225,All groups,T1065s2-D1: 1-98,98,FM/TBM,7m5f
62.,T1067,220,All groups,T1067-D1: 44-264,221,TBM-hard,
63.,T1068,211,All groups,T1068-D1: 13-203,191,TBM-hard,
64.,T1070,335,All groups,T1070-D1: 4-79,76,FM,7rej
65.,T1070,335,All groups,T1070-D2: 80-180,101,TBM-easy,7rej
66.,T1070,335,All groups,T1070-D3: 181-256,76,TBM-hard,7rej
67.,T1070,335,All groups,T1070-D4: 265-332,68,TBM-easy,7rej
68.,T1073,58,All groups,T1073-D1: 91-149,59,TBM-easy,
69.,T1074,131,All groups,T1074-D1: 71-202,132,FM,7oc9
70.,T1076,552,All groups,T1076-D1: 1-540,540,TBM-easy,6xn8
71.,T1078,138,All groups,T1078-D1: 3-131,129,TBM-hard,7cwp
72.,T1079,483,All groups,T1079-D1: 24-474,451,TBM-hard,
73.,T1080,137,All groups,T1080-D1: 649-781,133,FM/TBM,8onb
74.,T1082,97,All groups,T1082-D1: 23-97,75,FM/TBM,7cn6
75.,T1083,196,All groups,T1083-D1: 5-96,92,TBM-hard,
76.,T1084,146,All groups,T1084-D1: 3-73,71,TBM-hard,
77.,T1085,588,All groups,"T1085-D0: 173-521,524-580",406,MultiDom,
78.,T1085,588,All groups,T1085-D1: 173-339,167,TBM-hard,
79.,T1085,588,All groups,T1085-D2: 340-521,182,FM/TBM,
80.,T1085,588,All groups,T1085-D3: 524-580,57,TBM-hard,
81.,T1086,408,All groups,"T1086-D0: 24-216,221-408",381,MultiDom,
82.,T1086,408,All groups,T1086-D1: 24-216,193,TBM-easy,
83.,T1086,408,All groups,T1086-D2: 221-408,188,TBM-hard,
84.,T1087,186,All groups,T1087-D1: 1-93,93,TBM-hard,
85.,T1089,404,All groups,T1089-D1: 28-404,377,TBM-easy,7mhu
86.,T1090,193,All groups,T1090-D1: 2-192,191,FM,7k7w
87.,T1091,863,All groups,T1091-D1: 359-497,139,TBM-easy,7w6b
88.,T1091,863,All groups,T1091-D2: 498-604,107,TBM-easy,7w6b
89.,T1091,863,All groups,T1091-D3: 605-710,106,TBM-easy,7w6b
90.,T1091,863,All groups,T1091-D4: 711-822,112,TBM-easy,7w6b
91.,T1092,426,All groups,T1092-D1: 1-245,245,TBM-hard,7um1
92.,T1092,426,All groups,T1092-D2: 246-426,181,TBM-easy,7um1
93.,T1093,631,All groups,T1093-D1: 3-143,141,FM,7um1
94.,T1093,631,All groups,"T1093-D2: 144-401,508-631",382,TBM-hard,7um1
95.,T1093,631,All groups,T1093-D3: 402-507,106,FM,7um1
96.,T1094,496,All groups,T1094-D0: 1-484,484,MultiDom,7um1
97.,T1094,496,All groups,"T1094-D1: 1-126,334-484",277,TBM-hard,7um1
98.,T1094,496,All groups,T1094-D2: 127-333,207,FM,7um1
99.,T1095,665,All groups,T1095-D1: 1-649,649,TBM-hard,7um1
100.,T1096,464,All groups,T1096-D1: 6-260,255,FM,7um1
101.,T1096,464,All groups,T1096-D2: 294-464,171,FM,7um1
102.,T1099,262,All groups,T1099-D1: 11-188,178,TBM-hard,6ygh
103.,T1100,338,All groups,"T1100-D1: 1-53,220-337",171,TBM-hard,
104.,T1100,338,All groups,T1100-D2: 54-219,166,TBM-hard,
105.,T1101,318,All groups,T1101-D0: 12-318,307,MultiDom,
106.,T1101,318,All groups,T1101-D1: 12-94,83,TBM-easy,
107.,T1101,318,All groups,T1101-D2: 95-318,224,TBM-easy,
